rank,press,tier
1,조선일보,main
2,chosun.com,main
3,중앙일보,main
4,joongang.co.kr,main
5,동아일보,main
6,donga.com,main
7,매일경제,sub
8,mk.co.kr,sub
9,한국경제,sub
10,한국경제TV,sub
11,hankyung.com,sub
12,서울경제,sub
13,sedaily.com,sub
14,헤럴드경제,sub
15,heraldcorp.com,sub
16,이데일리,sub
17,edaily.co.kr,sub
18,연합뉴스,sub
19,연합뉴스TV,sub
20,yna.co.kr,sub
21,yonhapnewstv.co.kr,sub
22,뉴시스,sub
23,newsis.com,sub
24,뉴스1,sub
25,news1.kr,sub
26,파이낸셜뉴스,sub
27,fnnews.com,sub
28,조선비즈,sub
29,경향신문,sub
30,khan.co.kr,sub
31,한겨레,sub
32,hani.co.kr,sub
33,국민일보,sub
34,kmib.co.kr,sub
35,한국일보,sub
36,hankookilbo.com,sub
37,세계일보,sub
38,서울신문,sub
39,seoul.co.kr,sub
40,문화일보,sub
41,munhwa.com,sub
42,SBS,sub
43,SBS Biz,sub
44,sbs.co.kr,sub
45,MBC,sub
46,imnews.imbc.com,sub
47,KBS,sub
48,kbs.co.kr,sub
49,YTN,sub
50,ytn.co.kr,sub
51,JTBC,sub
52,news.jtbc.co.kr,sub
53,MBN,sub
54,mbn.co.kr,sub
55,채널A,sub
56,TV조선,sub
57,news.tvchosun.com,sub
58,머니투데이,mini
59,mt.co.kr,mini
60,디지털타임스,mini
61,dt.co.kr,mini
62,아시아경제,mini
63,asiae.co.kr,mini
64,더팩트,mini
65,news.tf.co.kr,mini
66,노컷뉴스,mini
67,nocutnews.co.kr,mini
68,매일신문,mini
69,전자신문,mini
70,etnews.com,mini
71,디지털데일리,mini
72,이코노미스트,mini
73,비즈워치,mini
74,매경이코노미,mini
75,지디넷코리아,mini
76,시사저널,mini
77,아이뉴스24,mini
78,inews24.com,mini
79,아주경제,mini
80,ajunews.com,mini
81,newdaily.co.kr,mini
82,businesspost.co.kr,mini
83,g-enews.com,mini
84,news.einfomax.co.kr,mini
85,etoday.co.kr,mini
86,mtn.co.kr,mini
87,metroseoul.co.kr,mini
88,wowtv.co.kr,mini
89,pinpointnews.co.kr,mini
90,newspim.com,mini
91,ebn.co.kr,mini
92,asiatoday.co.kr,mini
93,sidae.com,mini
