tier,canonical,aliases
# 매체 등급 기준 (기존 큐레이션을 그대로 보존하고 신규만 추가)
#   major  : 전통 3대 종합일간지
#   daily  : 신문 발행 / 지상파 / 통신사 / 종편·보도채널 / 지역일간지
#   online : 인터넷 전용 매체, 경제·IT 전문지, 주간지
# aliases 는 파이프(|) 구분. 한글 매체명과 등록도메인을 같은 행에 두면 하나로 병합된다.
#
# --- major ---
major,조선일보,조선일보|chosun.com
major,중앙일보,중앙일보|joongang.co.kr
major,동아일보,동아일보|donga.com
#
# --- daily ---
daily,연합뉴스,연합뉴스|yna.co.kr
daily,연합뉴스TV,연합뉴스TV|yonhapnewstv.co.kr
daily,뉴스1,뉴스1|news1.kr
daily,뉴시스,뉴시스|newsis.com
daily,매일경제,매일경제|매일경제 마켓|mk.co.kr
daily,한국경제,한국경제|hankyung.com
daily,한국경제TV,한국경제TV|wowtv.co.kr
daily,한국일보,한국일보|hankookilbo.com|hankooki.com
daily,한겨레,한겨레|hani.co.kr
daily,경향신문,경향신문|khan.co.kr
daily,서울신문,서울신문|seoul.co.kr
daily,국민일보,국민일보|kmib.co.kr
daily,문화일보,문화일보|munhwa.com
daily,세계일보,세계일보|segye.com
daily,서울경제,서울경제|sedaily.com
daily,헤럴드경제,헤럴드경제|heraldcorp.com
daily,이데일리,이데일리|edaily.co.kr
daily,파이낸셜뉴스,파이낸셜뉴스|fnnews.com
daily,조선비즈,조선비즈|Chosunbiz|biz.chosun.com
daily,KBS,KBS|KBS 뉴스|kbs.co.kr
daily,MBC,MBC|MBC 뉴스|imbc.com
daily,SBS,SBS|SBS 뉴스|sbs.co.kr
daily,SBS Biz,SBS Biz|sbsbiz.co.kr
daily,YTN,YTN|ytn.co.kr
daily,JTBC,JTBC|jtbc.co.kr
daily,TV조선,TV조선|tvchosun.com
daily,채널A,채널A|ichannela.com
daily,MBN,MBN|mbn.co.kr
daily,연합인포맥스,einfomax.co.kr
daily,부산일보,부산일보|busan.com
daily,국제신문,국제신문|kookje.co.kr
daily,강원도민일보,강원도민일보|kado.net
daily,에너지경제,에너지경제|에너지경제신문|ekn.kr
#
# --- online ---
online,머니투데이,머니투데이|mt.co.kr
online,머니투데이방송,머니투데이방송|MTN 머니투데이방송|mtn.co.kr
online,아시아경제,아시아경제|asiae.co.kr
online,전자신문,전자신문|etnews.com
online,디지털타임스,디지털타임스|dt.co.kr
online,디지털데일리,디지털데일리|ddaily.co.kr
online,노컷뉴스,노컷뉴스|nocutnews.co.kr
online,더팩트,더팩트|tf.co.kr
online,아이뉴스24,아이뉴스24|inews24.com
online,비즈워치,비즈워치|bizwatch.co.kr
online,지디넷코리아,지디넷코리아|zdnet.co.kr
online,이코노미스트,이코노미스트|economist.co.kr
online,시사저널,시사저널|시사저널e|sisajournal.com
online,매경이코노미,매경이코노미
online,한경비즈니스,한경비즈니스
online,주간조선,주간조선
online,매일신문,매일신문|imaeil.com
online,아주경제,ajunews.com
online,이투데이,etoday.co.kr
online,글로벌이코노믹,g-enews.com
online,뉴데일리,newdaily.co.kr
online,뉴스핌,newspim.com
online,아시아투데이,asiatoday.co.kr
online,EBN,ebn.co.kr
online,메트로신문,metroseoul.co.kr
online,핀포인트뉴스,pinpointnews.co.kr
online,비즈니스포스트,businesspost.co.kr
